"Receiver" "Is read" "Sender" "Sent Date" "Sent Time" "Receive Date" "Receive Time" "Subject" "Content" "Message Item" "Mailbox Item" "Mailbox From" "Mailbox Sender" "Mailbox Receiver" "Is Read by Receiver" "Message Key" "Mailbox Type"
"oberker" "+" "aguder" "2010-04-28" "22:57:58" "2010-04-28" "22:57:58" "No Subject" "ªlH]5" "144" "506" "inbox" "outbox" "inbox" "+" "181635827316177" "inbox"
"oberker" "+" "o_tugrul" "2010-04-28" "22:59:52" "2010-04-28" "22:59:52" "ilk mesaj" "ˇdTÍ¶SmÚSÃÓ∏·" "146" "508" "inbox" "outbox" "inbox" "+" "197714263444783" "inbox"
"o_tugrul" "+" "EGHPP System" "2010-04-28" "22:59:52" "2010-04-28" "22:59:52" "report:sent" "Message is sent successfully to :oberker
Receive Date: 2010-04-28
Receive Time: 22:59:52
Subject: ilk mesaj" "147" "509" "inbox" "outbox" "inbox" "-" "notenc" "inbox"
"o_tugrul" "+" "EGHPP System" "2010-04-28" "23:00:29" "2010-04-28" "23:00:29" "report:read" "Message is read from :oberker
Subject: ilk mesaj" "148" "510" "inbox" "outbox" "inbox" "-" "notenc" "inbox"
"aguder" "-" "EGHPP System" "2010-04-28" "23:29:12" "2010-04-28" "23:29:12" "report:read" "Message is read from :oberker
Subject: No Subject" "150" "511" "inbox" "outbox" "deleted" "-" "notenc" "inbox"
"aguder" "-" "EGHPP System" "2010-04-29" "11:49:31" "2010-04-29" "11:49:31" "report:sent" "Message is sent successfully to :oberker
Receive Date: 2010-04-29
Receive Time: 11:49:31
Subject: 3434  fgfg" "152" "513" "inbox" "outbox" "deleted" "-" "notenc" "inbox"
"oberkert" "-" "aguder" "2010-04-29" "11:50:25" "2010-04-29" "11:50:25" "5678  fdfdfd" "µ‚ı≠ìE‡)Ñ7ﬁm¨!ŒO°ThÕÓX∆bß
˝ﬁΩ(Z:’" "153" "514" "inbox" "deleted" "inbox" "-" "208318346214332" "inbox"
"aguder" "+" "EGHPP System" "2010-04-29" "11:50:25" "2010-04-29" "11:50:25" "report:notsent" "Message is not delivered to :'oberkert' Beceause 'oberkert' is not registered in the system" "154" "515" "inbox" "outbox" "outbox" "-" "notenc" "inbox"
"oberker" "+" "admin" "2010-04-29" "12:21:03" "2010-04-29" "12:21:03" "deneme omur" "øëÏ" "156" "517" "inbox" "outbox" "inbox" "+" "214176640774087" "inbox"
"admin" "-" "EGHPP System" "2010-04-29" "12:21:03" "2010-04-29" "12:21:03" "report:sent" "Message is sent successfully to :oberker
Receive Date: 2010-04-29
Receive Time: 12:21:03
Subject: deneme omur" "157" "518" "inbox" "outbox" "inbox" "-" "notenc" "inbox"
"o_tugrul" "+" "admin" "2010-04-29" "12:23:21" "2010-04-29" "12:23:21" "deneme poguz" "Ä{Åˆ≠«w" "158" "519" "inbox" "inbox" "inbox" "+" "227194727517728" "inbox"
"admin" "-" "EGHPP System" "2010-04-29" "12:23:21" "2010-04-29" "12:23:21" "report:sent" "Message is sent successfully to :o_tugrul
Receive Date: 2010-04-29
Receive Time: 12:23:21
Subject: deneme poguz" "159" "520" "inbox" "outbox" "inbox" "-" "notenc" "inbox"
"admin" "-" "EGHPP System" "2010-04-29" "12:23:36" "2010-04-29" "12:23:36" "report:read" "Message is read from :o_tugrul
Subject: deneme poguz" "160" "521" "inbox" "outbox" "inbox" "-" "notenc" "inbox"
"admin" "+" "EGHPP System" "2010-04-29" "18:03:20" "2010-04-29" "18:03:20" "report:sent" "Message is sent successfully to :oberker
Receive Date: 2010-04-29
Receive Time: 18:03:20
Subject: hat   78" "162" "523" "inbox" "outbox" "inbox" "-" "notenc" "inbox"
"admin" "+" "admin" "2010-04-29" "18:09:31" "2010-04-29" "18:09:31" "orta "" tƒ±rnaklƒ±" "" "163" "524" "inbox" "outbox" "inbox" "+" "notenc" "inbox"
"admin" "+" "EGHPP System" "2010-04-29" "18:09:31" "2010-04-29" "18:09:31" "report:sent" "Message is sent successfully to :admin
Receive Date: 2010-04-29
Receive Time: 18:09:31
Subject: orta "" tƒ±rnaklƒ±" "164" "525" "inbox" "outbox" "inbox" "-" "notenc" "inbox"
